発生日,取引先,税込金額,摘要,インボイス登録番号,仕訳,ファイル名
2025/01/18,レストラン,5550,飲食代（食事15品とホットウーロン茶）,T1120001160730,会議費,250211213136756-1.JPG
2025/01/31,株式会社 Eitaro Cafe,720,飲食代（クレジットカード支払）,T7010001070357,会議費,250211213123567.JPG
2025/01/27,GO株式会社,1100,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20250127_0858.pdf
2025/01/03,小田原みなと食堂,9340,飲食代,T3021001034899,会議費,250211213409958.JPG
2025/01/18,大戸屋,5550,飲食代,T1-1200-0146-0730,会議費,250211213136756-2.JPG
2025/01/22,Slack Technologies Limited,8085,Slack月額プロプラン利用料（2025/01/22-2025/02/21）,T4700150097910,通信費,slack202501_receipt_SBIE-7801698.pdf
2025/01/17,株式会社JR東日本ビルデイング,1100,STATION WORKブース利用料（浜松町駅）,T6010001094217,支払手数料,ステーションワーク2025117-receiptPdf_2025011714380310.pdf
2025/01/27,東海旅客鉄道株式会社,6560,JR乗車券4枚購入,T3180000103156,旅費交通費,250211213246793.JPG
2025/01/05,タリーズコーヒー 小田原トザンイースト店,495,チャイティー購入（ToGoカップ）,T9011101048118,会議費,250211213429913.JPG
2025/01/31,東海旅客鉄道株式会社,6560,JR乗車券4枚購入（小田原駅発行）,T3180001031569,旅費交通費,250211213524979.JPG
2023/01/31,Google Asia Pacific Pte. Ltd.,8976,Google Workspace Business Standard利用料金,T4700150006045,通信費,Google2025年1月分・5165953021.pdf
2025/01/11,TEA FACTORY 如春,6800,決済代金,なし,支払手数料,250211213306028.JPG
2025/01/06,東海旅客鉄道株式会社,6560,JR乗車券4枚購入 (小田原駅にて),T3150001031569,旅費交通費,250211213148466.JPG
2025/01/09,東海旅客鉄道株式会社,3280,品川駅でのクレジットカード支払い,T3180001031569,旅費交通費,250211213142702.JPG
2025/01/07,李家,1045,石焼豚丼セット,なし,交際費,250211213203080.JPG
2025/01/16,Anthropic,20,Claude Pro サブスクリプション(1ヶ月),T170-0005,支払手数料,Clause2025年1月分・Receipt-2309-1391-3162円.pdf
2025/01/16,東海旅客鉄道株式会社,3280,JR乗車券2枚購入,T3180001031569,旅費交通費,250211213313487.JPG
2025/01/17,渋谷PARCO,14410,PARCO店舗での購入,なし,交際費,250211213257560.JPG
2015/01/06,わびさび新橋本店,7947,飲食代,T9010401012477,交際費,250211213323949.JPG
2025/01/24,東海旅客鉄道株式会社,3280,JR乗車券2枚購入 (小田原駅発行),T3180001031589,旅費交通費,250211213214114.JPG
2025/01/17,GO株式会社,1200,タクシー利用料金,T201150101589,旅費交通費,GO領収書_20250117_0835.pdf
2025/01/20,"GitHub, Inc.",1100,GitHub Copilot 1ヶ月分利用料,T4700150079306,通信費,Github202501-INV73545139-1721円.pdf
2025/01/27,GO株式会社,700,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20250127_1936.pdf
2025/01/09,東海旅客鉄道株式会社,6560,JR乗車券4枚購入,T3130001031569,旅費交通費,250211213219238.JPG
2025/01/16,株式会社スペースマーケット,5457,会議室利用料（新橋駅徒歩30秒・無料Wi-Fi・40インチモニター完備の8人用会議室）,なし,会議費,スペースマーケット2025年1月16日.pdf
2025/01/06,三本珈琲店,1342,飲食代,なし,会議費,250211213408797.JPG
2025/01/21,GO株式会社,1700,タクシー利用料金,T201150101589,旅費交通費,GO領収書_20250121_1427.pdf
2025/01/14,GO株式会社,1600,タクシー料金,T2011501015896,旅費交通費,GO領収書_20250114_0855.pdf
2025/01/07,GO株式会社,1200,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20250107_1616.pdf
2025/01/31,NewDays ND小田原中央,1080,飯田商店監修醤油らぁ麺 2個,T3011101042662,会議費,250211213609544.JPG
2025/01/19,元祖油堂 小田原店,2430,油そば等の飲食代,T1012301012548,会議費,250211213115888.JPG
2025/01/20,GO株式会社,700,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20250120_2104.pdf
2025/01/17,東海旅客鉄道株式会社,3100,JR乗車券購入,T3180001031569,旅費交通費,250211213122562.JPG
